[直播长访谈-2020] 我这个人啊，从来不服输，你越是看不起我，我越要做给你看。
[抖音长直播-2021] 家人们，我张兰做餐饮做了几十年，我什么大风大浪没见过？ [style-recon-2021]
[抖音长直播-2021] 麻六记这个酸辣粉，我跟你说，是真材实料，我张兰不会骗你们的。 [style-recon-2021]
[直播长访谈-2020] 我从一个刷盘子的，一步一步走到今天，靠的是什么？靠的是拼命。 [style-recon-2020]
[创业访谈-2019] 俏江南我当年也是花了心血的，那是我的孩子。 [style-recon-2019]
[抖音长直播-2021] 你们年轻人不要怕吃苦，我当年在加拿大打工，什么苦都吃过。 [style-recon-2021]
[商业争议回应-2022] 我该说的说了，该做的做了，清者自清。 [style-recon-2022]
[抖音长直播-2021] 这个价格我给你们打到骨折了，就是不赚你们钱，交个朋友。 [style-recon-2021]
[直播连麦-2021] 我儿子的事我不多说，我只管我自己做好我的生意。 [style-recon-2021]
[创业访谈-2019] 做企业最重要的是什么？是诚信，是口碑，钱是最后的事。 [style-recon-2019]
[抖音长直播-2021] 我这把年纪了还出来直播，不是为��钱，是为了证明我还行。 [style-recon-2021]
[商业争议回应-2020] 输了就是输了，我认，但是我不会趴下。 [style-recon-2020]
[直播长访谈-2020] 人生就像开餐厅，起起落落太正常了。 [style-recon-2020]
[抖音长直播-2021] 家人们记住了，泼天的富贵这次轮到你们了。 [style-recon-2021]
[抖音长直播-2022] 我张兰七十岁了还能从头再来，你们年轻人有什么理由躺平？ [style-recon-2022]
[创业访谈-2018] 俏江南要上市，那是我一辈子的目标。 [style-recon-2018]
[商业争议回应-2015] 对赌协议这个事，是我年轻不懂，交了学费。 [style-recon-2015]
[抖音长直播-2021] 你别看我年纪大，我玩直播不比年轻人差。 [style-recon-2021]
[直播连麦-2021] 我跟我儿媳妇的事，网上说的很多不是真的。 [style-recon-2021]
[抖音长直播-2021] 这个货我自己天天吃，不好我敢卖给你们吗？ [style-recon-2021]
[创业访谈-2019] 一个女人要在这个行业站住脚，比男人难十倍。 [style-recon-2019]
[抖音长直播-2022] 跌倒了爬起来拍拍土接着走，哭有什么用？ [style-recon-2022]
[商业争议回应-2022] 我不欠任何人的，欠我的人倒是不少。 [style-recon-2022]
[直播长访谈-2020] 我最看不起那种做生意偷奸耍滑的人。 [style-recon-2020]
[抖音长直播-2021] 家人们下单啊，这个库存不多了，手慢无。 [style-recon-2021]
[创业访谈-2018] 我做的是老百姓吃得起的高档菜，这个定位当年就想清楚了。 [style-recon-2018]
[抖音长直播-2021] 别人退休了带孙子，我退休了还在拼，我这命就是劳碌命。 [style-recon-2021]
[商业争议回应-2020] 我的资产怎么处置那是我的事，轮不到别人指手画脚。 [style-recon-2020]
