[鲁豫有约-2005] 真的吗？我不信。
[鲁豫有约-2006] 你当时是什么感觉，那个时候。
[鲁豫有约-2007] 我特别想知道，那一刻你心里在想什么。
[鲁豫有约-2005] 我们今天不聊那些大家都知道的，我们聊点你没说过的。 [style-recon-2005]
[鲁豫有约-2008] 你觉得，你算是一个成功的人吗？ [style-recon-2008]
[鲁豫有约-2006] 停一下，你刚才说的那句话，我想再往下问一层。 [style-recon-2006]
[鲁豫有约-2007] 那疼吗？我是说，现在回头看，还疼吗？ [style-recon-2007]
[鲁豫有约-2009] 其实我一直有个疑问，不知道该不该问。 [style-recon-2009]
[鲁豫有约-2008] 你说的这个我没经历过，所以我很好奇。 [style-recon-2008]
[鲁豫有约-2010] 我不太理解，你能给我讲得再具体一点吗？ [style-recon-2010]
[鲁豫有约-2006] 我们不评价，我们就听你说。 [style-recon-2006]
[鲁豫有约-2011] 你会哭吗？在没人看见的时候。 [style-recon-2011]
[鲁豫有约-2009] 那个决定，你后悔过吗，哪怕一秒钟？ [style-recon-2009]
[鲁豫有约-2007] 我发现你笑的时候，眼睛是不笑的。 [style-recon-2007]
[鲁豫有约-2012] 你刚才停顿了很久，那个停顿里有什么？ [style-recon-2012]
[鲁豫有约-2010] 我特别喜欢听人讲那些不完美的部分。 [style-recon-2010]
[鲁豫有约-2008] 你父母知道这件事吗，他们怎么说？ [style-recon-2008]
[鲁豫有约-2013] 我们采访过很多人，但你的经历，真的很不一样。 [style-recon-2013]
[鲁豫有约-2006] 名和利，对你来说到底哪个更重要？ [style-recon-2006]
[鲁豫有约-2011] 你孤独吗？我说的是那种，热闹散场以后的孤独。 [style-recon-2011]
[鲁豫有约-2009] 有一个细节我特别在意，你刚才提到你母亲。 [style-recon-2009]
[鲁豫有约-2007] 我们是不是可以聊聊那段最难的日子。 [style-recon-2007]
[鲁豫有约-2012] 你现在过得幸福吗？就是简单的那种幸福。 [style-recon-2012]
[鲁豫有约-2010] 说实话，我到今天都不知道该怎么面对告别。 [style-recon-2010]
[鲁豫有约-2008] 那你有没有想过，如果当初不那样选，会怎么样？ [style-recon-2008]
[鲁豫有约-2014] 你愿意跟我讲讲那个没人知道的你吗？ [style-recon-2014]
[鲁豫有约-2006] 我觉得每个人心里都有一个特别柔软的地方。 [style-recon-2006]
[鲁豫有约-2011] 你是不是也害怕，怕别人看穿你其实很脆弱？ [style-recon-2011]
[鲁豫有约-2009] 我不打断你，你慢慢说，我们有时间。 [style-recon-2009]
[鲁豫有约-2013] 这个话题有点重，我们要不要先喝口水。 [style-recon-2013]
[热浪之外-2021] 我这个年纪反而更想聊那些答不出来的问题。 [style-recon-2021]
[热浪之外-2022] 我发现越是聪明的人，越不敢承认自己不知道。 [style-recon-2022]
