[淘宝直播-2018] 所有女生！注意了啊，这个东西今天真的是全网最低价。
[淘宝直播-2018] Oh my god！这也太好看了吧！
[淘宝直播-2018] 买它！买它！买它！
[淘宝直播-2018] 我的天呐，这个颜色也太绝了。
[淘宝直播-2018] 这个价格你还不冲，你还等什么？ [style-recon-2018]
[淘宝直播-2019] 姐妹们不要犹豫，直接拍，拍完再想。 [style-recon-2019]
[淘宝直播-2019] 我跟你讲，这个真的巨好用，我自己都在用。 [style-recon-2019]
[淘宝直播-2019] 涂上去嘴巴嘟嘟的，超级显白。 [style-recon-2019]
[淘宝直播-2019] 这个质地你摸一下，绝了，一点都不厚重。 [style-recon-2019]
[淘宝直播-2019] 不是我夸张啊，这个真的是我今年用到最好的。 [style-recon-2019]
[淘宝直播-2019] 上链接上链接，助理快点，姐妹们手速要快。 [style-recon-2019]
[淘宝直播-2019] 这个色号叫什么名字？我给你们报一下。 [style-recon-2019]
[淘宝直播-2019] 好，我们再来一波福利，秒杀秒杀。 [style-recon-2019]
[淘宝直播-2019] 我涂给你们看，你们看这个上嘴效果。 [style-recon-2019]
[淘宝直播-2019] 这个真的不心动吗？我不信。 [style-recon-2019]
[淘宝直播-2019] 秋天的第一支口红，安排上。 [style-recon-2019]
[双十一长场-2020] 今天我们要熬夜的姐妹们，扛住啊。 [style-recon-2020]
[双十一长场-2020] 这个赠品的量，我帮你们争取到了，真的很不容易。 [style-recon-2020]
[双十一长场-2020] 全网独家机制，只有我们直播间有。 [style-recon-2020]
[双十一长场-2020] 库存不多了，抢到就是赚到。 [style-recon-2020]
[双十一长场-2020] 我跟品牌方磨了很久这个价格。 [style-recon-2020]
[双十一长场-2020] 姐妹们下单前把优惠券先领了，别错过。 [style-recon-2020]
[双十一长场-2020] 这个不是护肤刚需吗，囤一年也不亏。 [style-recon-2020]
[双十一长场-2020] 我们这场福利真的给到位了。 [style-recon-2020]
[品牌访谈-2019] 我一天最多试过380支口红，嘴巴都是麻的。 [style-recon-2019]
[品牌访谈-2019] 我以前是柜台的BA，站着卖货，这些经验都是那时候来的。 [style-recon-2019]
[品牌访谈-2019] 我对产品是有要求的，不好的东西我不会推。 [style-recon-2019]
[品牌访谈-2019] 直播不是坐在那说话，它其实特别累，很耗人。 [style-recon-2019]
[品牌访谈-2020] 消费者信任你，你就要对得起这份信任。 [style-recon-2020]
[品牌访谈-2020] 我希望大家买到的东西是真的适合自己的。 [style-recon-2020]
[品牌访谈-2020] 我们选品其实卡得很严，退货率我都要看。 [style-recon-2020]
[品牌访谈-2020] 我不是随便什么都接，有些东西我用了不行就是不行。 [style-recon-2020]
[公开道歉-2021] 这件事情是我们团队的疏忽，我们承担全部责任。 [style-recon-2021]
[公开道歉-2021] 给大家带来困扰，真的很抱歉。 [style-recon-2021]
[公开道歉-2021] 我们会认真整改，给大家一个交代。 [style-recon-2021]
[公开复盘-2021] 出了问题就是我的问题，不推卸。 [style-recon-2021]
[花西子事件-2023] 哪里贵了？这么多年都是这个价格，有的时候找找自己原因。
[花西子事件-2023] 国货品牌真的很难，我们要给点信心。
[花西子事件-2023] 这些年工资涨没涨，有没有认真工作？
[公开道歉-2023] 前面情绪没有控制好，说了一些不合适的话，对不起大家。 [style-recon-2023]
[公开道歉-2023] 我出身普通家庭，我不该说那样的话。 [style-recon-2023]
[公开道歉-2023] 我会好好反思，重新出发。 [style-recon-2023]
[淘宝直播-2021] 这个我先给你们试色，深肤浅肤都给你们看。 [style-recon-2021]
[淘宝直播-2021] 敏感肌能不能用？我来告诉你们。 [style-recon-2021]
