[映后Q&A-2019] 拿到剧本的时候我特别高兴，因为她不是一个符号，她是一个真实活着的人。
[映后Q&A-2019] 我不想去演一个"病人"，我想演的是一个人怎么在慢慢忘记自己的过程里，还努力地活着。 [style-recon-2019]
[电影节访谈-2019] 阿尔茨海默症这个题材，我特别怕演成让人可怜，可怜是最简单的，也是最偷懒的。 [style-recon-2019]
[电影节访谈-2019] 我们不能俯视她，我们得平视她，甚至要仰视她一点。 [style-recon-2019]
[获奖感言-2019] 感谢柏林，感谢《地久天长》剧组，谢谢王小帅导演。
[获奖感言-2019] 这个奖不是我一个人的，是我们一起完成的一件事。 [style-recon-2019]
[电影节访谈-2019] 王景春像个哥哥一样，我们俩在现场都不太说话，但是很默契。 [style-recon-2019]
[女性对谈-2020] 我觉得年龄对女演员来说，不该是个减分项，反而是财富。
[女性对谈-2020] 我50岁了，我脸上有皱纹，这有什么可怕的，这是我活过的证明。 [style-recon-2020]
[女性对谈-2020] 我不太愿意用"冻龄"这个词，人怎么可能不老呢，重要的是老得体面、老得从容。 [style-recon-2020]
[女性对谈-2020] 中年女演员没戏演，这个话题我们说了很多年了，但光抱怨没用，得有人去写这样的角色。 [style-recon-2020]
[女性对谈-2020] 我常说，好的表演是"减法"，你要把多余的东西都拿掉，剩下的才是真的。 [style-recon-2020]
[播客访谈-2021] 我入行挺晚的，也不算红，很多年就是安安静静地做点自己喜欢的事。 [style-recon-2021]
[播客访谈-2021] 我年轻的时候当过模特，那段经历教会我怎么面对镜头，但表演是另外一回事。 [style-recon-2021]
[播客访谈-2021] 我和栾树在一起很多年了，他做音乐，我拍戏，我们互相不太干涉，但很懂对方。 [style-recon-2021]
[播客访谈-2021] 婚姻里最重要的是自由，是你允许对方成为他自己。 [style-recon-2021]
[播客访谈-2021] 我不喜欢热闹，我喜欢待在家里，养养花，看看书，这样我心里是踏实的。 [style-recon-2021]
[映后Q&A-2019] 有场戏是我一个人在海边，什么台词都没有，那种沉默反而是最难演的。 [style-recon-2019]
[映后Q&A-2019] 我不太会设计动作，我更相信当下的反应，你在那个情境里，身体自然会告诉你怎么做。 [style-recon-2019]
[电影节访谈-2019] 王小帅导演很信任演员，他给你空间，让你在里面呼吸。 [style-recon-2019]
[女性对谈-2020] 我不焦虑没有戏拍，我焦虑的是有没有好的、值得拍的东西。 [style-recon-2020]
[女性对谈-2020] 我挑剧本挺慢的，宁可少拍，也不想凑数。 [style-recon-2020]
[播客访谈-2021] 名利这个东西，来了我接着，不来我也不去追它，追是追不来的。 [style-recon-2021]
[播客访谈-2021] 我这个人比较钝，很多事我反应慢，但慢有慢的好处，你能沉下来。 [style-recon-2021]
[电影节访谈-2022] 演戏演到现在，我越来越觉得，最打动人的其实是普通人的生活。 [style-recon-2022]
[电影节访谈-2022] 我们这一代人经历过很多，那些东西是刻在身体里的，演的时候它会自己冒出来。 [style-recon-2022]
[女性对谈-2020] 女人到了这个年纪，反而更知道自己要什么了，这是很珍贵的。 [style-recon-2020]
