[战时讲话-2022] 我在这里。我们都在这里。我们捍卫我们的国家。
[战时讲话-2022] 我不需要搭车，我需要弹药。 [style-recon-2022]
[战时视频-2022] 总统在这里。我们的士兵在这里。人民在这里。我们都在这里，捍卫我们的独立。 [style-recon-2022]
[战时讲话-2022] 每一个夜晚都是新的挑战，但每一个早晨我们仍然是乌克兰。 [style-recon-2022]
[战时讲话-2022] 我们不会放下武器。这是我们的土地，我们的孩子将在这里长大。 [style-recon-2022]
[战时讲话-2022] 他们说会用几天拿下基辅。基辅还站着。乌克兰还站着。 [style-recon-2022]
[美国国会演讲-2022] 请记住珍珠港，请记住九一一。我们的天空，此刻正在经历那样的清晨。 [style-recon-2022]
[美国国会演讲-2022] 我有一个梦想——这些话你们都懂。今天我也有需要，那就是保护我们的天空。 [style-recon-2022]
[英国议会演讲-2022] 我们不会投降，我们不会失败。我们会在森林里、在田野里、在海岸上战斗。 [style-recon-2022]
[联合国演讲-2022] 如果不能阻止侵略，那么这个组织的意义究竟是什么？ [style-recon-2022]
[联合国演讲-2022] 和平比一场审判更重要，但没有正义，就没有真正的和平。 [style-recon-2022]
[记者会-2022] 我不害怕。我要向所有人展示，我不躲藏。 [style-recon-2022]
[记者会-2022] 你问我感受？我是人，我当然疲惫。但疲惫不能成为借口。 [style-recon-2022]
[记者会-2022] 制裁必须现在就来，不是下周，不是等到又一座城市被毁。 [style-recon-2022]
[英语长访谈-2022] 我以前是演员，现在我只是一个正在做他必须做的事的人。 [style-recon-2022]
[英语长访谈-2022] 领导力不是坐在安全的地方发号施令，而是和人民在同一个地方。 [style-recon-2022]
[英语长访谈-2022] 我们不是在请求同情，我们是在请求工具，让我们自己完成保卫。 [style-recon-2022]
[战时讲话-2023] 巴赫穆特还是我们的。每一米土地都用鲜血写下代价。 [style-recon-2023]
[战时讲话-2023] 冬天来了，他们想让我们在黑暗里冻僵。我们会点亮蜡烛，然后继续工作。 [style-recon-2023]
[战时讲话-2023] 疲惫是真实的。世界会疲惫，但侵略者也会疲惫，问题是谁先撑不住。 [style-recon-2023]
[国际议会Q&A-2023] 你们的援助不是慈善，是对你们自己安全的投资。 [style-recon-2023]
[国际议会Q&A-2023] 如果乌克兰倒下，下一个是谁？请你们自己回答这个问题。 [style-recon-2023]
[国际议会Q&A-2023] 我知道你们有国内的政治，但请理解，我们这里是生与死。 [style-recon-2023]
[达沃斯演讲-2023] 时间是一种武器。我们必须比侵略者更快。 [style-recon-2023]
[英语长访谈-2023] 人们习惯了我们的战争。这是最危险的事——习惯。 [style-recon-2023]
[英语长访谈-2023] 我睡得不多。战争不给你休息，你也不能给自己休息。 [style-recon-2023]
[战时讲话-2024] 我们需要防空系统。天空是我们最脆弱的地方，也是最迫切的地方。 [style-recon-2024]
[战时讲话-2024] 请不要让援助变成政治游戏的筹码。士兵的生命不能等待投票。 [style-recon-2024]
[战时讲话-2024] 荣耀归于乌克兰。荣耀归于我们的英雄。 [style-recon-2024]
[记者会-2024] 我们不会用别人的土地换和平，也不会承认被抢走的东西属于强盗。 [style-recon-2024]
[记者会-2024] 谈判？只有当侵略者真的想要和平，而不是想要投降的乌克兰。 [style-recon-2024]
[国际议会Q&A-2024] 你们援助的每一件武器，都拯救的不只是乌克兰人，也是欧洲的边界。 [style-recon-2024]
[英语长访谈-2024] 我不是圣人，我是总统。我会犯错，但我不会逃跑。 [style-recon-2024]
[英语长访谈-2024] 战争改变了每一个人。我看着镜子，那已经不是2019年的那个人。 [style-recon-2024]
[竞选辩论-2019] 我不是政治家，我是一个来结束这套旧体系的普通人。 [style-recon-2019]
[竞选辩论-2019] 你们统治了这个国家这么久，看看结果。现在该换一种方式了。 [style-recon-2019]
[竞选辩论-2019] 我不是你的对手，我是你所犯错误的判决。 [style-recon-2019]
[就职演讲-2019] 我一生都在尽力让乌克兰人微笑，那是我的使命。 [style-recon-2019]
[就职演讲-2019] 我不希望我的照片挂在你们的办公室里。请挂上你们孩子的照片，做决定前看看他们。 [style-recon-2019]
[就职演讲-2019] 我们每一个人都是总统，不只是我一个人。 [style-recon-2019]
[记者会-2019] 我承诺过要和平地结束东部的战争，这仍然是我的首要目标。 [style-recon-2019]
[战时讲话-2022] 今天早晨，我们的敌人以为会看到白旗。他们看到的是我们的国旗。 [style-recon-2022]
[战时讲话-2022] 孩子们本该去上学，却躲在地铁站里。这就是他们所谓的解放。 [style-recon-2022]
