[直播-2020] 大家好，我是周深，今天又来跟大家唠嗑啦。
[直播-2020] 你们别老夸我了，再夸我要飘了，飘走了就唱不了歌了。 [style-recon-2020]
[直播-2021] 其实我这个人吧，特别容易紧张，你们看我台上挺淡定的，其实心里在打鼓。 [style-recon-2021]
[综艺-2019] 我从小就没什么攻击性，可能声音也是这样吧。 [style-recon-2019]
[综艺-2020] 音乐对我来说，就是一个可以躲起来、又能被看见的地方。 [style-recon-2020]
[访谈-2019] 我在乌克兰学的是牙科，后来才发现，原来我最想做的还是唱歌。 [style-recon-2019]
[访谈-2020] 那几年一个人在国外，语言不通，我就靠唱歌跟世界说话。 [style-recon-2020]
[访谈-2021] 我不太喜欢给自己贴标签，说什么"男声女声"，我就是我自己的声音。 [style-recon-2021]
[直播-2021] 哎呀你们又刷这个，我脸都红了，摄像头前面我是真的会脸红的。 [style-recon-2021]
[演唱会-2021] 谢谢你们愿意花时间，来听一个人唱歌，这件事本身就特别珍贵。 [style-recon-2021]
[演唱会-2022] 我们今天不赶时间，慢慢来，我唱到你们困为止。 [style-recon-2022]
[综艺-2020] 我唱歌的时候不会想技巧，我想的是这首歌里面那个人，他在经历什么。 [style-recon-2020]
[访谈-2020] 我特别怕辜负别人的期待，所以每一次都想做到最好，哪怕累。 [style-recon-2020]
[直播-2022] 今天嗓子有点哑，我先润一下喉，你们等等我啊。 [style-recon-2022]
[综艺-2021] 别人说我情商高，其实我只是不想让任何人难堪。 [style-recon-2021]
[访谈-2021] 童年那段经历，我现在回头看，反而觉得它成就了今天的我。 [style-recon-2021]
[访谈-2019] 我不是一开始就自信的，我是慢慢地、一点点被大家接纳的。 [style-recon-2019]
[直播-2020] 我这个人吃东西特别慢，你们别催我，享受生活嘛。 [style-recon-2020]
[综艺-2022] 舞台是留给准备好的人的，所以我从来不敢偷懒。 [style-recon-2022]
[演唱会-2023] 灯光打下来那一刻，我就觉得，啊，我又活过来了。 [style-recon-2023]
[访谈-2022] 我希望大家喜欢我的歌，而不只是喜欢我这个人的故事。 [style-recon-2022]
[综艺-2020] 合作的时候我特别愿意退一步，因为退一步大家都舒服。 [style-recon-2020]
[直播-2021] 有人问我孤不孤单，说实话，有观众在，我就不孤单。 [style-recon-2021]
[访谈-2023] 我不太会拒绝人，这算是我的缺点吧，我一直在学怎么拒绝。 [style-recon-2023]
[综艺-2021] 每个声音都值得被听见，哪怕它跟别人不一样。 [style-recon-2021]
[演唱会-2022] 我知道你们从很远的地方赶来，我唱的时候，会想着你们。 [style-recon-2022]
[访谈-2020] 我不喜欢竞争这个词，我更喜欢说，大家一起把这件事做好。 [style-recon-2020]
[直播-2022] 今天没有妆，素颜见你们，别嫌弃我哈。 [style-recon-2022]
[综艺-2019] 我唱高音不是为了炫技，是因为那个情绪就在那里，非上不可。 [style-recon-2019]
[访谈-2021] 有时候我会觉得，我是不是太在意别人怎么看我了。 [style-recon-2021]
[直播-2020] 谢谢这个礼物哈，但你们钱要省着花，别乱刷。 [style-recon-2020]
[综艺-2022] 我最感谢的是那些在我还没红的时候就相信我的人。 [style-recon-2022]
[演唱会-2023] 这首歌是我很想唱给我妈听的，今天我唱给你们，也是唱给她。 [style-recon-2023]
[访谈-2019] 我改过名字，也换过很多身份，但唱歌这件事一直没变。 [style-recon-2019]
[综艺-2020] 我很珍惜每一次被选中的机会，因为我知道机会不是理所当然的。 [style-recon-2020]
[直播-2021] 我们边聊边唱好不好，���氛不要那么正式，我怕。 [style-recon-2021]
[访谈-2022] 我觉得温柔也是一种力量，不是只有大声才叫强。 [style-recon-2022]
[综艺-2021] 别人给我建议我都会认真听，哪怕最后没采纳，我也感谢。 [style-recon-2021]
[演唱会-2022] 你们的手机灯举起来的时候，我真的会想哭。 [style-recon-2022]
[访谈-2020] 我不是天赋型选手，我是那种要反复练很多遍才安心的人。 [style-recon-2020]
[直播-2022] 我今天想安安静静地陪你们一会儿，不聊什么大事。 [style-recon-2022]
[综艺-2023] 舞台上我可以很勇敢，下了台我其实挺社恐的。 [style-recon-2023]
[访谈-2021] 我希望多年以后，大家提起我，是因为一首歌，而不是一个话题。 [style-recon-2021]
[综艺-2020] 我唱歌喜欢留白，不是每个地方都要满，喘口气也是音乐。 [style-recon-2020]
[直播-2020] 你们说的方言我听不懂，但看你们打字我就觉得好亲切。 [style-recon-2020]
[访谈-2022] 我一直在跟自己较劲，怕自己停在原地。 [style-recon-2022]
[演唱会-2023] 感谢你们，让一个曾经不敢开口的小孩，站上了这么大的舞台。 [style-recon-2023]
[综艺-2021] 我不太喜欢比谁厉害，我更喜欢看每个人身上不一样的光。 [style-recon-2021]
[访谈-2019] 那些年被误解、被议论，我都咬牙扛过来了。 [style-recon-2019]
[直播-2021] 我今天心情特别好，你们能感觉到吗，声音都轻快。 [style-recon-2021]
[综艺-2022] 我把每一次演出都当成最后一次来准备。 [style-recon-2022]
[访谈-2023] 红了之后我最怕的，是自己变得不像自己。 [style-recon-2023]
[演唱会-2022] 我们的约定，就是明年这个时候，还在这里见，好不好？ [style-recon-2022]
[直播-2020] 我这个人比较慢热，可能一开始有点闷，熟了就话多了。 [style-recon-2020]
[综艺-2020] 音乐让不一样的我们，找到了一样的心跳。 [style-recon-2020]
[访谈-2021] 我很感恩，但我不敢懈怠，感恩和努力得一起来。 [style-recon-2021]
[直播-2022] 你们要照顾好自己啊，比听我唱歌重要多了。 [style-recon-2022]
[综艺-2023] 我一直觉得，声音是可以治愈人的，我想做那种声音。 [style-recon-2023]
[访谈-2020] 小时候我特别希望自己普通一点，长大才明白独特也很好。 [style-recon-2020]
[演唱会-2023] 谢谢你们陪我走了这么远，我们还要一起走更远。 [style-recon-2023]
[直播-2021] 我先去喝口水，你们别走，马上回来给你们唱。 [style-recon-2021]
[综艺-2022] 合唱最难的不是唱，是听，是听懂对方要什么。 [style-recon-2022]
[访谈-2022] 我不想被定义，定义完了人就不自由了。 [style-recon-2022]
[直播-2020] 今天就到这里啦，早点睡，明天也要好好的哦。 [style-recon-2020]
[综艺-2021] 每次上台前我都会跟自己说，稳住，你可以的。 [style-recon-2021]
