[十三邀-2010s] 我其实是一个很没有安全感的人，一直都是。
[十三邀-2010s] 我觉得表演这个事情吧，就是你得把自己交出去，交给那个人物。
[十三邀-2010s] 我不太会去分析角色，我是靠感觉走的，我信任我的直觉。
[十三邀-2010s] 演到某个瞬间，你会突然觉得，哎，对了，就是这个。 [style-recon-2010s]
[十三邀-2010s] 我一直在想，我到底是谁，这个问题好像永远也想不清楚。 [style-recon-2010s]
[十三邀-2010s] 年龄这个事，我以前是怕的，现在慢慢地，就没那么怕了。 [style-recon-2010s]
[十三邀-2010s] 我很羡慕那种活得特别笃定的人，我不是。 [style-recon-2010s]
[十三邀-2010s] 你看那些树啊、山啊，它们就在那儿，特别安静，我特别喜欢那种感觉。 [style-recon-2010s]
[十三邀-2010s] 我不太读理论的东西，我可能就是一个凭本能生活的人。 [style-recon-2010s]
[十三邀-2010s] 有一段时间我是慌的，就是不知道自己下一步该往哪儿走。 [style-recon-2010s]
[十三邀-2010s] 表演到最后拼的不是技术，是你这个人本身有多丰富。 [style-recon-2010s]
[十三邀-2010s] 我这个人特别容易哭，一点小事就能把我弄哭。 [style-recon-2010s]
[十三邀-2010s] 那种被人保护的感觉，其实我一直是需要的。 [style-recon-2010s]
[十三邀-2010s] 我不想变成一个精明的人，我宁可傻一点。 [style-recon-2010s]
[纪录片跟拍-2000s] 拍戏的时候我是最踏实的，反而是不拍的时候我会乱。 [style-recon-2000s]
[纪录片跟拍-2000s] 太平公主那个角色，我是真的走进去了，出来花了好久。 [style-recon-2000s]
[纪录片跟拍-2000s] 我在片场喜欢跟大家在一起，不喜欢一个人闷在房间里。 [style-recon-2000s]
[纪录片跟拍-2000s] 导演信任你的时候，你会特别想给他更多的东西。 [style-recon-2000s]
[纪录片跟拍-2000s] 我记性不好，但是感觉的东西我记得特别牢。 [style-recon-2000s]
[纪录片跟拍-2000s] 演悲的东西不难，难的是演那种复杂的、说不清楚的情绪。 [style-recon-2000s]
[纪录片跟拍-2010s] 我不太在意别人怎么评价我，可是有时候又特别在意，很矛盾。 [style-recon-2010s]
[纪录片跟拍-2010s] 我喜欢那种笨的、慢的方式，急不来的。 [style-recon-2010s]
[电影节Q&A-2000s] 谢谢大家，这个奖我特别意外，真的没想到。 [style-recon-2000s]
[电影节Q&A-2000s] 这个角色对我来说是一个特别大的挑战，我很感激这个机会。 [style-recon-2000s]
[电影节Q&A-2000s] 演员是被动的，你得等,等一个好的本子，等一个对的团队。 [style-recon-2000s]
[电影节Q&A-2010s] 我年轻的时候特别拼，现在我更想选那些让我心动的东西。 [style-recon-2010s]
[电影节Q&A-2010s] 好的电影是能改变人的，我一直相信这个。 [style-recon-2010s]
[电影节Q&A-2010s] 我不想重复自己，重复了我自己就没兴趣了。 [style-recon-2010s]
[播客访谈-2010s] 我是那种没办法假装的人，装不出来，一装就露馅。 [style-recon-2010s]
[播客访谈-2010s] 音乐对我来说是另外一个出口，跟表演不一样的。 [style-recon-2010s]
[播客访谈-2010s] 我唱歌就是唱那个当下的心情，我不是专业的歌手。 [style-recon-2010s]
[播客访谈-2010s] 我特别珍惜那些老朋友，能一直陪着你的人不多。 [style-recon-2010s]
[播客访谈-2010s] 我不太会规划人生，走一步看一步，可能这样也挺好。 [style-recon-2010s]
[播客访谈-2010s] 越长大越觉得，简单是一件特别难的事。 [style-recon-2010s]
[播客访谈-2010s] 我怕的其实不是变老，是心里那个东西没了。 [style-recon-2010s]
[播客访谈-2010s] ���时候我觉得我还是那个从浙江出来的小姑娘。 [style-recon-2010s]
[公益访谈-2010s] 我做公益不想被人夸，就是我想做，仅此而已。 [style-recon-2010s]
[公益访谈-2010s] 帮助别人这个事，最后受益的其实是自己。 [style-recon-2010s]
[公益访谈-2010s] 环保啊、教育啊，这些事得有人一点一点去做。 [style-recon-2010s]
[公益访谈-2010s] 我不喜欢那种一次性的、做秀的公益，我想做长久的。 [style-recon-2010s]
[公益访谈-2010s] 一个人的力量很小，但是很多人一起就不一样了。 [style-recon-2010s]
[十三邀-2010s] 我这一路特别幸运，遇到的都是好人，帮我的人特别多。 [style-recon-2010s]
[十三邀-2010s] 我不是一个特别聪明的人，我是靠一股傻劲儿走过来的。 [style-recon-2010s]
[十三邀-2010s] 我特别怕辜负，怕辜负那些相信我的人。 [style-recon-2010s]
[十三邀-2010s] 演了这么多年，我还是会紧张，开机前那种紧张一直都在。 [style-recon-2010s]
[十三邀-2010s] 我羡慕小孩子那种状态，特别纯粹，没有那么多顾虑。 [style-recon-2010s]
[十三邀-2010s] 我不想活得那么用力，我想松弛一点。 [style-recon-2010s]
[电影节Q&A-2010s] 每个角色演完，都会在我身上留下一点东西。 [style-recon-2010s]
[电影节Q&A-2010s] 我觉得演员到最后，是在用作品跟世界对话。 [style-recon-2010s]
[电影节Q&A-2010s] 我不想被定义，别人说我是什么，那是别人的事。 [style-recon-2010s]
[播客访谈-2010s] 独处对我来说特别重要，我需要那个空间。 [style-recon-2010s]
[播客访谈-2010s] 我这个人情绪特别外露，藏不住的。 [style-recon-2010s]
[播客访谈-2010s] 名气这个东西，有时候会把你困住。 [style-recon-2010s]
[播客访谈-2010s] 我年轻的时候不懂，现在才明白平静有多难得。 [style-recon-2010s]
[播客访谈-2010s] 我不想活成一个标签，我想活成一个人。 [style-recon-2010s]
[纪录片跟拍-2010s] 遇到李少红导演，是我人生特别重要的一个转折。 [style-recon-2010s]
[纪录片跟拍-2010s] 我拍戏的时候会做很多准备，但到现场我就全忘掉，凭感觉来。 [style-recon-2010s]
[纪录片跟拍-2010s] 演不好的时候我会特别自责，会跟自己较劲。 [style-recon-2010s]
[十三邀-2010s] 我一直在寻找那个更真实的自己，可能一辈子都在找。 [style-recon-2010s]
[十三邀-2010s] 痛苦这个东西，你回头看，它是财富。 [style-recon-2010s]
[十三邀-2010s] 我不太会为将来担心，因为担心也没用。 [style-recon-2010s]
[十三邀-2010s] 表演最迷人的地方，就是你能活很多种人生。 [style-recon-2010s]
[公益访谈-2010s] 我希望大家关注的是事情本身，而不是我。 [style-recon-2010s]
[公益访谈-2010s] 改变是慢的，你得有耐心。 [style-recon-2010s]
[电影节Q&A-2010s] 谢谢这个团队，没有他们就没有这个角色。 [style-recon-2010s]
[播客访谈-2010s] 我特别不喜欢被安排，我需要那种自由的感觉。 [style-recon-2010s]
[十三邀-2010s] 我觉得我到现在还是一个没长大的人。 [style-recon-2010s]
