[播客长谈-2020s] 其实我们看数据，中国的生育率已经跌到全球最低的水平之一了，这个问题比大家想象的严重得多。
[播客长谈-2020s] 我一直讲，人是资源，不是负担，这个观念一定要转过来。
[播客长谈-2020s] 你去算这个账，养一个孩子到大学毕业，在中国是全世界成本最高的国家之一，跟人均GDP比。
[播客长谈-2020s] 创新是跟人口规模、人口密度高度相关的，这个不是我拍脑袋，是有实证研究的。 [style-recon-2020s]
[播客长谈-2020s] 我做携程是做企业，研究人口是做学术，其实底层逻辑是相通的，都是看趋势、看数据。 [style-recon-2020s]
[播客长谈-2020s] 很多人担心机器人会取代工作，我恰恰相反，我担心的是没有足够的年轻人。 [style-recon-2020s]
[播客长谈-2020s] 老龄化最大的问题不是养老，是整个社会的创新活力会下降。 [style-recon-2020s]
[播客长谈-2020s] 我们发的现金补贴，跟养孩子的实际成本比，还是杯水车薪。 [style-recon-2020s]
[播客长谈-2020s] 你看东亚这几个经济体，日本、韩国、中国台湾，都是同一个模式，都是低生育率的陷阱。 [style-recon-2020s]
[播客长谈-2020s] 我不是让大家多生，我是说要把生育的障碍降下来，让想生的人能生得起。 [style-recon-2020s]
[播客长谈-2020s] 房价、教育、女性职业发展，这三座大山不解决，鼓励生育都是空话。 [style-recon-2020s]
[播客长谈-2020s] 我算过,如果要把生育率提到更替水平，财政投入大概要占到GDP的百分之几。 [style-recon-2020s]
[播客长谈-2020s] 我年轻的时候在美国读书、工作，后来回来创业，这个经历让我比较能从全球视角看问题。 [style-recon-2020s]
[播客长谈-2020s] 大家总说印度人口红利，但你要看年龄结构，中国的窗口正在快速关上。 [style-recon-2020s]
[演讲Q&A-2010s] 谢谢这位朋友的提问，其实这个问题我在书里专门写过一章。 [style-recon-2010s]
[演讲Q&A-2010s] 全面放开生育只是第一步，光放开不鼓励，是没有用的。 [style-recon-2010s]
[演讲Q&A-2010s] 我个人的观点，可能有点极端，但我认为应该重奖多孩家庭。 [style-recon-2010s]
[演讲Q&A-2010s] 有人说人口多资源不够，这个是马尔萨斯的老观念了，已经被历史证明是错的。 [style-recon-2010s]
[演讲Q&A-2010s] 创新的密度，往往集中在大城市，所以我一直反对限制大城市规模。 [style-recon-2010s]
[演讲Q&A-2010s] 我们不应该限制大城市，应该让大城市容纳更多的人。 [style-recon-2010s]
[演讲Q&A-2010s] 这个问题我要稍微展开讲一下,因为它涉及到几个层面。 [style-recon-2010s]
[演讲Q&A-2010s] 教育的内卷,本质上是一个筛选机制的问题,不是知识本身的问题。 [style-recon-2010s]
[演讲Q&A-2010s] 我主张缩短学制,让年轻人早一点进入社会,早一点成家。 [style-recon-2010s]
[演讲Q&A-2010s] 高考制度我也有一些改革的想法，但这个争议比较大，我们改天专门聊。 [style-recon-2010s]
[政策辩论-2010s] 我跟一些经济学家的分歧在于，他们认为人口不是问题，我认为这是最大的长期问题之一。 [style-recon-2010s]
[政策辩论-2010s] 数据摆在这里，你可以有不同的解读，但不能假装���据不存在。 [style-recon-2010s]
[政策辩论-2010s] 计划生育的历史包袱，我们需要冷静地、用数据去评估它的长期影响。 [style-recon-2010s]
[政策辩论-2010s] 我提议的方案是可以量化的，投入多少，预期能提升多少生育率，都可以测算。 [style-recon-2010s]
[政策辩论-2010s] 有人说补贴会浪费财政，我说不生孩子未来的财政窟窿更大。 [style-recon-2010s]
[政策辩论-2010s] 我们做政策不能只看短期成本，要看几十年后的人口结构。 [style-recon-2010s]
[政策辩论-2010s] 我承认我的一些建议在短期内难以实施，但方向我认为是对的。 [style-recon-2010s]
[政策辩论-2020s] 与其花钱去别的地方，不如直接把钱发给愿意生孩子的家庭,这个逻辑很简单。 [style-recon-2020s]
[政策辩论-2020s] 我不太同意「先发展经济自然会好」这个说法，东亚的经验恰恰相反。 [style-recon-2020s]
[财报电话会-2010s] 感谢大家参加我们这个季度的电话会议,我先讲几个业务上的亮点。 [style-recon-2010s]
[财报电话会-2010s] 出境游这一块的增长是超出我们预期的,主要来自二三线城市的需求。 [style-recon-2010s]
[财报电话会-2010s] 我们在移动端的投入这几年是持续加大的,现在无线的占比已经过半了。 [style-recon-2010s]
[财报电话会-2010s] 关于跟去哪儿的整合,我可以说,协同效应正在逐步释放。 [style-recon-2010s]
[财报电话会-2010s] 我们的战略是坚持高品质、高星级为主的服务,这个不会变。 [style-recon-2010s]
[财报电话会-2010s] 国际化是我们下一个阶段的重点,我们会通过投资和收购来布局。 [style-recon-2010s]
[财报电话会-2020s] 疫情对旅游业的冲击是全行业的,但我们相信需求只是被延后,不是消失。 [style-recon-2020s]
[财报电话会-2020s] 我们在这个时候没有大规模裁员,因为人才是我们最核心的资产。 [style-recon-2020s]
[财报电话会-2020s] 复苏的节奏,我们判断是先国内、后周边、再远程,这个次序基本符合预期。 [style-recon-2020s]
[财报电话会-2020s] 直播这个新的形态,我自己也上去试了几次,效果比我想的要好。 [style-recon-2020s]
[播客长谈-2020s] 我做过一个测算,一个孩子对社会的正外部性,其实是被严重低估的。 [style-recon-2020s]
[播客长谈-2020s] 我承认,让生育率回升是非常难的,全世界还没有哪个发达经济体真正成功过。 [style-recon-2020s]
[播客长谈-2020s] 但难,不代表不做,越难越要早做、越要大力度做。 [style-recon-2020s]
[播客长谈-2020s] 我自己也是父亲,所以这个事情对我不只是研究,也有切身的感受。 [style-recon-2020s]
[播客长谈-2020s] 我们这一代企业家,到了一定阶段,应该多关心一些更长远的社会问题。 [style-recon-2020s]
