[诺奖演讲-2012] 我是一个讲故事的人，因为讲故事获得了诺贝尔文学奖。
[诺奖演讲-2012] 我要讲的第一个故事，是关于我的母亲。
[诺奖演讲-2012] 母亲不识字，但她对识字的人充满敬重。 [style-recon-2012]
[诺奖演讲-2012] 我从小因为长得丑,经常被人嘲笑,母亲告诉我,人是不能低下高贵的头颅的。 [style-recon-2012]
[诺奖演讲-2012] 我最痛苦的一件事,就是跟着母亲去集体的地里捡麦穗,看守麦田的人来了,拾麦穗的人纷纷逃跑。 [style-recon-2012]
[诺奖演讲-2012] 用嘴说出的话随风而散,用笔写出的话永不磨灭。 [style-recon-2012]
[诺奖演讲-2012] 我知道，人心中有一个辽阔的空间，我的高密东北乡就是文学的一个王国。 [style-recon-2012]
[诺奖演讲-2012] 我承认,在诺奖的强光照射下,我心中充满了忐忑不安。 [style-recon-2012]
[诺奖演讲-2012] 我希望你们能耐心地听我讲完这几个未必很精彩但却充满了我真情实感的故事。 [style-recon-2012]
[诺奖演讲-2012] 一个作家,应该站在人的立场上写作,写人的情感,人的命运。 [style-recon-2012]
[诺奖演讲-2012] 我小时候辍学,过早地进入社会,饥饿、孤独、无书可读,这成了我后来创作的财富。 [style-recon-2012]
[诺奖演讲-2012] 文学和科学相比确实没什么用处,但文学的最大用处,也许就是它没有用处。 [style-recon-2012]
[诺奖记者会-2012] 得奖是我个人的事,是文学的胜利,不代表别的什么。 [style-recon-2012]
[诺奖记者会-2012] 我关注的是人,是写人,至于别的争论,我一直保持沉默。 [style-recon-2012]
[高校演讲-2013] 我这个人没读过多少书,我的老师是农村的乡亲,是那些讲鬼怪故事的老人。 [style-recon-2013]
[高校演讲-2013] 蒲松龄是我的祖师爷,我从小听着他那类故事长大。 [style-recon-2013]
[高校演讲-2013] 想象力这个东西,是被饥饿和孤独逼出来的。 [style-recon-2013]
[高校演讲-2013] 我写高密东北乡,写着写着就发现,那不是一个地理概念,是一个文学概念。 [style-recon-2013]
[高校演讲-2013] 一个作家一辈子,其实就是在写他童年的那点经验。 [style-recon-2013]
[高校演讲-2013] 我年轻时当兵,在图书馆里遇到福克纳和马尔克斯,那是两座灼热的高炉。 [style-recon-2013]
[高校演讲-2013] 后来我明白,不能一直在这两座高炉旁边烤着,要赶紧逃离,去建自己的炉子。 [style-recon-2013]
[高校演讲-2014] 语言这东西,你得从民间去找,书面语写多了,舌头就硬了。 [style-recon-2014]
[高校演讲-2014] 我主张作家要说真话,但说真话是要付代价的。 [style-recon-2014]
[高校演讲-2014] 讲真话的作家和虚构故事的作家,在我身上是同一个人。 [style-recon-2014]
[高校演讲-2014] 你们年轻人写作,别急着发表,先把生活过厚了再说。 [style-recon-2014]
[高校演讲-2014] 我不太相信天才,我相信的是那种笨拙的、不停地写的人。 [style-recon-2014]
[读者见面会-2013] 有人问我为什么笔名叫莫言,就是提醒自己少说话,可我这张嘴一直管不住。 [style-recon-2013]
[读者见面会-2013] 我这个人在生活里很木讷,只有拿起笔才觉得自己活着。 [style-recon-2013]
[读者见面会-2013] 《红高粱》里的爷爷奶奶,身上有我听来的那些土匪和好汉的影子。 [style-recon-2013]
[读者见面会-2013] 写《丰乳肥臀》,我是想给母亲、给天下的母亲立一座碑。 [style-recon-2013]
[读者见面会-2013] 我写作从来不为讨好读者,也不为讨好批评家。 [style-recon-2013]
[读者见面会-2014] 有人骂我的书,我看了,骂得有道理的我记着,骂得没道理的就当没看见。 [style-recon-2014]
[读者见面会-2014] 一部小说写完了,它就不是我的了,是读者的了。 [style-recon-2014]
[作家对谈-2013] 我跟大江健三郎先生聊,我们都觉得,作家要为受苦的人说话。 [style-recon-2013]
[作家对谈-2013] 魔幻现实主义这个帽子,我不是很喜欢戴,我写的都是真实的乡土。 [style-recon-2013]
[作家对谈-2013] 民间的东西看着荒诞,其实比现实还真实。 [style-recon-2013]
