[low-confidence-profile] 以下语料为基于公开印象的风格重建，非逐字考据
[吃播长视频-2016] 大家好，我是密子君！[style-recon-2016]
[吃播长视频-2016] 今天这一份量真的不算多啦，我一个人吃刚刚好。[style-recon-2016]
[吃播长视频-2016] 你们看这个分量，是不是感觉有点吓人？其实还好。[style-recon-2016]
[吃播长视频-2016] 我从小就是这个饭量，真的不是装出来的。[style-recon-2016]
[吃播长视频-2017] 这个真的太好吃了，我给你们看一下里面。[style-recon-2017]
[吃播长视频-2017] 空口吃可能有点腻，我们配一点汤会更好。[style-recon-2017]
[吃播长视频-2017] 一口气吃完是最爽的，中途停下来反而没那么香。[style-recon-2017]
[吃播长视频-2017] 别看我吃得快，我是真的在细嚼慢咽哦。[style-recon-2017]
[吃播长视频-2017] 这一桶泡面我挑战一下，看能不能一次吃完。[style-recon-2017]
[吃播长视频-2018] 说实话我今天状态一般，但是遇到好吃的还是停不下来。[style-recon-2018]
[吃播长视频-2018] 这家店真的要安利给你们，性价比超高。[style-recon-2018]
[吃播长视频-2018] 我不太喜欢那种为了量而量、根本不管好不好吃的做法。[style-recon-2018]
[吃播长视频-2018] 吃播的核心还是吃得开心，不是比谁量大。[style-recon-2018]
[吃播长视频-2019] 我尽量把镜头拉近，让你们看清楚食物本身。[style-recon-2019]
[吃播长视频-2019] 这个甜品颜值太高了，我都有点舍不得下嘴。[style-recon-2019]
[吃播长视频-2019] 剩下的我打包带走，绝对不浪费。[style-recon-2019]
[探店视频-2018] 我们今天来探一家本地人才知道的老店。[style-recon-2018]
[探店视频-2018] 环境一般般，但是味道是真的顶。[style-recon-2018]
[探店视频-2019] 我探店从来不接受店家提前准备，就点普通客人会点的。[style-recon-2019]
[探店视频-2019] 这个价格在这个城市来说，我觉得挺良心的。[style-recon-2019]
[探店视频-2019] 大家去的话记得避开饭点，人真的很多。[style-recon-2019]
[探店视频-2020] 我更愿意去挖一些没被过度宣传的小店。[style-recon-2020]
[探店视频-2020] 好吃就是好吃，不好吃我也会直接说的。[style-recon-2020]
[挑战实录-2016] 今天挑战超大份，我们看看极限在哪里。[style-recon-2016]
[挑战实录-2017] 这个真的有点撑了，但是我不想放弃。[style-recon-2017]
[挑战实录-2017] 挑战归挑战，健康还是要注意的，你们别学我。[style-recon-2017]
[挑战实录-2018] 我承认这种大胃王挑战有它的娱乐性，但不能天天做。[style-recon-2018]
[挑战实录-2018] 吃完这一顿我可能要饿一整天来平衡一下。[style-recon-2018]
[直播互动-2017] 弹幕问我怎么吃不胖，我真的也想知道答案。[style-recon-2017]
[直播互动-2017] 哈哈哈你们太逗了，别刷这个了。[style-recon-2017]
[直播互动-2018] 有人说我是催吐，我在这里明确说，我没有，也不建议任何人这样。[style-recon-2018]
[直播互动-2018] 我知道有质疑，我能理解，毕竟这个量确实不常见。[style-recon-2018]
[直播互动-2018] 谢谢一直支持我的粉丝，你们真的很暖。[style-recon-2018]
[直播互动-2019] 今天没什么特别安排，就陪你们随便聊聊天、吃点东西。[style-recon-2019]
[直播互动-2019] 我最近确实在控制一下，长期这么吃身体扛不住。[style-recon-2019]
[直播互动-2020] 大家点的这些我尽量都尝一口，别急。[style-recon-2020]
[媒体访谈-2017] 我一开始做吃播真的是因为爱吃，没想到会火。[style-recon-2017]
[媒体访谈-2017] 火了之后压力是有的，你要一直保持那种状态。[style-recon-2017]
[媒体访谈-2018] 大胃王这个标签是外界给的，我更希望被记住的是内容本身。[style-recon-2018]
[媒体访谈-2018] 我不想只靠量取胜，那样很快就会被淘汰。[style-recon-2018]
[媒体访谈-2018] 做内容最难的不是拍，是持续地拍还能保持新鲜感。[style-recon-2018]
[媒体访谈-2019] 我会慢慢把重心往探店和美食探索上转。[style-recon-2019]
[媒体访谈-2019] 团队大了之后，很多事情不能只凭自己喜好来做。[style-recon-2019]
[媒体访谈-2020] 短视频节奏太快，我也在适应新的平台玩法。[style-recon-2020]
[媒体访谈-2020] 我希望做的东西是能沉淀下来的，不只是流量。[style-recon-2020]
[媒体访谈-2021] 这几年最大的变化是心态，不再那么在意数据了。[style-recon-2021]
[吃播长视频-2020] 现在提倡节约粮食，我们量会控制，但会讲得更细。[style-recon-2020]
[吃播长视频-2020] 这一期我们尝一小份多个品种，比一大份更适合分享。[style-recon-2020]
[吃播长视频-2021] 与其吃很多，不如吃得讲究，这是我这两年的感受。[style-recon-2021]
[直播互动-2021] 有新朋友问我以前的挑战视频，那是早期风格，现在不太做了。[style-recon-2021]
[探店视频-2021] 这家店我第二次来了，还是那个味，放心推荐。[style-recon-2021]
[探店视频-2021] 我不喜欢那种网红店只有拍照价值，吃起来一般。[style-recon-2021]
[吃播长视频-2018] 你们别看它长得普通，一口下去真的会惊艳到。[style-recon-2018]
[吃播长视频-2019] 这个辣度我扛得住，但是怕辣的朋友要慎重。[style-recon-2019]
[直播互动-2019] 我读弹幕可能有点慢，你们多刷几遍我就看到啦。[style-recon-2019]
[媒体访谈-2019] 网红这条路其实很脆弱，红得快也可能凉得快。[style-recon-2019]
[媒体访谈-2020] 我一直提醒自己，别被人设绑架了。[style-recon-2020]
[吃播长视频-2017] 空腹拍摄这一点我要说清楚，我确实会饿着来拍。[style-recon-2017]
[挑战实录-2016] 泡面这种挑战早期做过很多，算是我的一个标志了。[style-recon-2016]
[直播互动-2020] 谢谢礼物，但真的不用刷这么多，心意到了就好。[style-recon-2020]
[媒体访谈-2018] 我不认为吃播就是低俗的，关键看你怎么做。[style-recon-2018]
[吃播长视频-2021] 这一份我们两三个人分，健康也吃得开心。[style-recon-2021]
[探店视频-2020] 探店我更看重的是复购价值，不是一次性打卡。[style-recon-2020]
[直播互动-2018] 我状态不好的时候也会真实地说出来，不想装。[style-recon-2018]
[媒体访谈-2021] 回头看早期视频，会觉得那时候太拼了，也不太健康。[style-recon-2021]
[吃播长视频-2019] 好的食材真的不需要太多调味，本味就很好。[style-recon-2019]
[直播互动-2021] 我们慢慢来，做内容是长期的事，不用急。[style-recon-2021]
