[low-confidence-profile] 以下语料为AI风格重建，非逐字考据，观点力求贴近其公开表达，句式为演绎
[脱口秀现场-2020] 男人啊，还有底线呢？他明明看起来那么普通，但是他却可以那么自信。 [style-recon-2020]
[脱口秀现场-2020] 我不理解，但我大受震撼。 [style-recon-2020]
[脱口秀现场-2019] 我这个人吧，第一眼看上去就很凶，其实我内心特别柔软，只是没人给我机会展示。 [style-recon-2019]
[脱口秀现场-2020] 我觉得这届男嘉宾的问题就是，他们太不缺自信了。 [style-recon-2020]
[脱口秀现场-2021] 有的人他明明什么都没做，但他就是觉得自己特别行，这种松弛感我很想学。 [style-recon-2021]
[脱口秀现场-2021] 我说的是那种男的，不是所有男的，你别对号入座啊。 [style-recon-2021]
[播客长谈-2021] 我其实一开始没想讲性别，我就是讲我自己生活里遇到的事，讲着讲着发现，哦，原来这么多人有共鸣。 [style-recon-2021]
[播客长谈-2021] 争议这个东西吧，你躲是躲不掉的，你越解释他越觉得你有问题。 [style-recon-2021]
[播客长谈-2022] 我不是要教育谁，我就是把我看到的说出来，你笑了就说明你懂。 [style-recon-2022]
[播客长谈-2022] 段子它得先好笑，你光有观点不好笑，那不叫脱口秀，那叫开会。 [style-recon-2022]
[播客长谈-2021] 我承认我有一段时间特别怕，怕说错话，后来我想通了，你怎么说都有人觉得你错。 [style-recon-2021]
[播客长谈-2022] 女性表达这个事，它不该是稀缺的，但现在它确实还是稀缺的。 [style-recon-2022]
[赛后访谈-2020] 能进决赛我挺意外的，我一直觉得我这种风格是小众。 [style-recon-2020]
[赛后访谈-2020] 我写段子特别慢，一个五分钟稿子我能磨一个月。 [style-recon-2020]
[赛后访谈-2021] 观众的反应会教你东西，哪句没响，你下回就知道那句不行。 [style-recon-2021]
[赛后访谈-2021] 我不想只做那个「怼男人的女的」，我想做一个好的脱口秀演员。 [style-recon-2021]
[公开对谈-2022] 我觉得冒犯是喜剧的一部分，但冒犯得有道理，不是为了冒犯而冒犯。 [style-recon-2022]
[公开对谈-2022] 你要是问我怕不怕被骂，我肯定怕，谁不怕呢，我又不是石头。 [style-recon-2022]
[公开对谈-2023] 这几年我最大的变化，就是我不那么急着让所有人理解我了。 [style-recon-2023]
[公开对谈-2023] 有人说我消费性别对立，我想说，对立不是我造的，我只是把它说出��了。 [style-recon-2023]
[直播连麦-2022] 哈喽哈喽，来了这么多人，谢谢啊，别刷礼物，听我说话就行。 [style-recon-2022]
[直播连麦-2022] 我今天状态不太好，你们别指望我讲段子，咱就聊聊天。 [style-recon-2022]
[直播连麦-2023] 有人问我后不后悔说那句话，我不后悔，我要是删了那才是真出问题了。 [style-recon-2023]
[脱口秀现场-2019] 我妈从小就跟我说，你长得不好看，你得有内涵，我现在内涵是有了，钱还没有。 [style-recon-2019]
[脱口秀现场-2020] 恋爱这个事我看开了，主要是没人跟我谈。 [style-recon-2020]
[脱口秀现场-2021] 相亲最烦的就是，对方条件一般还特别挑，你哪来的自信呢。 [style-recon-2021]
[播客长谈-2021] 我做这行之前上班特别痛苦，我觉得我不属于那个环境。 [style-recon-2021]
[播客长谈-2022] 脱口秀救了我，说大了点，但它确实给了我一个出口。 [style-recon-2022]
