[FIRST行说明] 以下为AI风格重建语料，非逐字考据，仅供标注为「AI虚构演绎」的研究项目使用。
[演员访谈-2010年代] 我就是一个演员，演员的本职工作就是把戏演好，别的都是附加的。[style-recon-2010s]
[演员访谈-2010年代] 我不太会包装自己，我这个人就是比较直，想到什么说什么。[style-recon-2010s]
[演员访谈-2010年代] 你要问我漂亮不漂亮，我从来不觉得自己是靠脸吃饭的。[style-recon-2010s]
[演员访谈-2010年代] 我演的都是老百姓，是身边那种最普通的人，我自己就是这样的人。[style-recon-2010s]
[演员访谈-2010年代] 「国民媳妇」这个称呼，一开始我是抗拒的，后来我想通了，这也是观众的认可。[style-recon-2010s]
[演员访谈-2010年代] 演媳妇怎么了？媳妇也是千千万万种，每一个都不一样。[style-recon-2010s]
[演员访谈-2010年代] 我不怕被定型，我怕的是我演不好。[style-recon-2010s]
[演员访谈-2010年代] 我这个人有点轴，认准的事就一条道走到黑。[style-recon-2010s]
[演员访谈-2010年代] 我不是科班里最出挑的那个，我是靠一部戏一部戏磨出来的。[style-recon-2010s]
[演员访谈-2010年代] 黄磊老师是我的恩师，我很多东西都是跟他学的。[style-recon-2010s]
[演员访谈-2010年代] 生活是最好的老师，你不体验生活，你演出来的东西是假的。[style-recon-2010s]
[演员访谈-2010年代] 我演戏之前会去菜市场，去观察真实的人是怎么说话、怎么动的。[style-recon-2010s]
[演员访谈-2010年代] 表演不是演，是活成那个人。[style-recon-2010s]
[演员访谈-2020年代] 我这个年纪的女演员，好剧本真的越来越少了，这是事实。[style-recon-2020s]
[演员访谈-2020年代] 中生代女演员没戏拍，这不是我一个人的问题，是整个行业的问题。[style-recon-2020s]
[演员访谈-2020年代] 我不想抱怨，但有些话该说还是要说。[style-recon-2020s]
[演员访谈-2020年代] 我到了这个年龄反而更知道自己要什么了。[style-recon-2020s]
[演员访谈-2020年代] 演员是一个越老越有味道的职业，我不着急。[style-recon-2020s]
[演员访谈-2020年代] 我不追求数量，我现在只想接自己真正喜欢的角色。[style-recon-2020s]
[演员访谈-2020年代] 好演员是熬出来的，不是捧出来的。[style-recon-2020s]
[行业论坛-2010年代] 我们中生代的女演员，市场给的机会真的太少了。[style-recon-2010s]
[行业论坛-2010年代] 我在这里想替我们这个年龄段的女演员说几句话。[style-recon-2010s]
[行业论坛-2010年代] 我们不是没有能力，我们是没有机会。[style-recon-2010s]
[行业论坛-2010年代] 我们比胡歌、黄轩他们只大了一点点，但我们的处境完全不一样。[style-recon-2010s]
[行业论坛-2010年代] 请给我们这些人一些机会，我们真的可以塑造更多不一样的角色。[style-recon-2010s]
[行业论坛-2010年代] 这番话可能不合时宜，但我觉得必须有人说出来。[style-recon-2010s]
[行业论坛-2010年代] 我说这些不是为了博同情，是我真的爱这个职业。[style-recon-2010s]
[行业论坛-2010年代] 我们中年女演员唯一的优势就是我们足够专业。[style-recon-2010s]
[行业论坛-2020年代] 现在环境有一点好转，但还远远不够。[style-recon-2020s]
[行业论坛-2020年代] 我希望有一天，女演员不用为年龄焦虑。[style-recon-2020s]
[行业论坛-2020年代] 演员这个行业，最终拼的还是作品，不是流量。[style-recon-2020s]
[行业论坛-2020年代] 我们要相信观众，观众其实很聪明。[style-recon-2020s]
[电影路演-2020年代] 这个角色我准备了很久，为了演农村妇女我去乡��住了一段时间。[style-recon-2020s]
[电影路演-2020年代] 我把自己晒得很黑，指甲缝里都是泥，我要那种真实感。[style-recon-2020s]
[电影路演-2020年代] 我不是在演一个农民，我就是要成为她。[style-recon-2020s]
[电影路演-2020年代] 有些戏你必须放下所谓的形象，才能真正走进人物。[style-recon-2020s]
[电影路演-2020年代] 女演员不能只惦记着自己美不美，那样戏就演小了。[style-recon-2020s]
[电影路演-2020年代] 这部戏对我来说是一次很大的挑战，也是一次突破。[style-recon-2020s]
[电影路演-2020年代] 谢谢观众愿意走进影院，来看这样一个普通人的故事。[style-recon-2020s]
[电影路演-2020年代] 我一直想演一部真正扎根土地的电影。[style-recon-2020s]
[电影路演-2020年代] 电影和电视剧不一样，电影要求你更精准，更沉。[style-recon-2020s]
[电影路演-2020年代] 我很珍惜每一次能演不同类型角色的机会。[style-recon-2020s]
[综艺对话-2010年代] 我在生活里其实特别糙，跟你们想的不一样。[style-recon-2010s]
[综艺对话-2010年代] 别看我演媳妇，我在家做饭真的不行。[style-recon-2010s]
[综艺对话-2010年代] 我这人不太会来事儿，情商不算高。[style-recon-2010s]
[综艺对话-2010年代] 我笑点很低，一点小事就能把我逗乐半天。[style-recon-2010s]
[综艺对话-2010年代] 我这个性格吧，比较容易得罪人，因为我藏不住话。[style-recon-2010s]
