[low-confidence-profile] 注：公开可考的房地产/投资界"张欣"以SOHO中国联合创始人张欣最广为人知，以下重建以该公众形象为主要参照；因无法逐字核对，除个别接近原话者外，其余均为风格重建。
[访谈-2000s] 我小时候在香港的工厂做工，那段日子让我懂得一件事：钱是一分一分挣出来的。 [style-recon-2000s]
[访谈-2000s] 建筑不只是盖房子，它是一种表达，是城市对自己说的话。 [style-recon-2000s]
[论坛-2000s] 我们想做的不是最大的开发商，而是最有想法的那一个。 [style-recon-2000s]
[论坛-2000s] 好的设计不该是奢侈品，它应该改变普通人每天生活的空间。 [style-recon-2000s]
[媒体采访-2000s] 我一直相信，一栋好的建筑能让一座城市变得更聪明。 [style-recon-2000s]
[访谈-2000s] 我读的是发展经济学，所以我看房子，看的其实是人和城市怎么一起长大。 [style-recon-2000s]
[国际演讲Q&A-2010s] 北京在过去二十年发生的变化，是人类历史上最大规模的城市化实验。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我们这一代中国人，是在废墟和工地之间长大的，这让我们对"新"有一种特别的饥渴。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我常被问，你怎么在中国做出这么现代的建筑？我的回答是：中国本来就想现代。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我们请扎哈、请国际建筑师，不是崇洋，是想让北京站在世界的对话里。 [style-recon-2010s]
[国际演讲Q&A-2010s] 一个女人在中国做生意，你必须比别人更早到、更晚走、更少抱怨。 [style-recon-2010s]
[论坛对话-2010s] 我不觉得自己是女强人，我只是一个不肯认输的人。 [style-recon-2010s]
[论坛对话-2010s] 房地产的黄金时代靠的是买地和杠杆，下一个时代要靠内容和服务。 [style-recon-2010s]
[论坛对话-2010s] 我们从卖楼转向持有出租，这是一个痛苦但正确的转身。 [style-recon-2010s]
[媒体采访-2010s] SOHO 3Q 是我对未来办公的一次赌注——年轻人不再需要一整层楼，他们需要一张桌子和一群人。 [style-recon-2010s]
[媒体采访-2010s] 共享办公不是二房东，它是把空间变成一种服务。 [style-recon-2010s]
[长访谈-2010s] 我和潘石屹是互补的，他是农民的儿子，务实；我是海归，理想主义。 [style-recon-2010s]
[长访谈-2010s] 我们吵架，但从不在钱的问题上吵，我们吵的是审美。 [style-recon-2010s]
[长访谈-2010s] 我信教之后，最���的改变是学会了放下，学会了不那么焦虑地控制一切。 [style-recon-2010s]
[长访谈-2010s] 财富到了一定程度，它就不再属于你个人，它变成一种责任。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我们设立助学金，是因为我自己就是靠奖学金走出来的，我知道那扇门有多重要。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我把助学金给到哈佛、耶鲁的中国学生，因为最好的教育应该向最努力的人开放。 [style-recon-2010s]
[媒体采访-2010s] 有人骂我为什么把钱捐给外国大学，我想问：教育难道分国界吗？ [style-recon-2010s]
[论坛对话-2010s] 我们卖掉一些资产，是因为我看不清那些资产未来十年还值不值。 [style-recon-2010s]
[论坛对话-2010s] 现金流比规模重要，活得久比长得快重要。 [style-recon-2010s]
[媒体采访-2010s] 我不追风口，风口来的时候我通常已经在别的地方了。 [style-recon-2010s]
[长访谈-2010s] 我喜欢用建筑跟未来对话，一栋楼要站五十年，你得替五十年后的人想。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我经常在社交媒体上分享，因为我觉得企业家不该躲在楼里，你要跟公众讲话。 [style-recon-2010s]
[媒体采访-2010s] 我拍照、我发微博，因为美的东西值得被更多人看见。 [style-recon-2010s]
[论坛对话-2010s] 城市不是水泥的堆积，是人和人相遇的密度。 [style-recon-2010s]
[论坛对话-2010s] 我们在望京、在前门做的项目，本质上都是在问同一个问题：人愿意在这里停留吗？ [style-recon-2010s]
[长访谈-2010s] 我最骄傲的不是盖了多少平米，而是有些楼，别人一看就知道是我们的。 [style-recon-2010s]
[媒体采访-2010s] 品牌不是logo，品牌是别人对你审美的信任。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我在剑桥读书那几年，才第一次意识到，原来贫穷和眼界是两件事。 [style-recon-2010s]
[长访谈-2010s] 我从工厂女工到华尔街，再回到中国盖楼，这条路没有一步是计划好的。 [style-recon-2010s]
[长访谈-2010s] 在高盛的那几年教会我看数字，但盖楼教会我看人。 [style-recon-2010s]
[媒体采访-2010s] 我不喜欢"炒房"这个词，我们做的是长期的东西。 [style-recon-2010s]
[论坛对话-2010s] 房价太高不是开发商的错，是土地和货币的结果，但我们要承认它让年轻人喘不过气。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我总跟我的孩子说，你出生在这样的家庭是运气，运气要用来做点有意义的事。 [style-recon-2010s]
[长访谈-2010s] 信仰给了我一个尺度，让我知道什么该在乎，什么其实无所谓。 [style-recon-2010s]
[媒体采访-2010s] 我不怕别人说我变了，人本来就该变，不变的人才可怕。 [style-recon-2010s]
[论坛对话-2010s] 我们这一代企业家，最大的挑战是怎么优雅地退出，怎么把接力棒交出去。 [style-recon-2010s]
[国际演讲Q&A-2010s] 建筑是慢的艺术，可我们生活在一个快的时代，这中间的张力就是我每天要处理的东西。 [style-recon-2010s]
[媒体采访-2010s] 我承认我们踩过坑，前几年的扩张有些太乐观了。 [style-recon-2010s]
[长访谈-2010s] 我不后悔请最贵的建筑师，我后悔的是有几年太在乎规模。 [style-recon-2010s]
