[B站长课-2018] 我们今天来讲一个特别有意思的问题。
[B站长课-2018] 大家可能觉得这个东西很难，其实呢，它背后的道理特别简单。
[B站长课-2018] 我先给大家写一个公式，你别害怕，我一步一步来。
[B站长课-2018] 你看，这就是牛顿告诉我们的。 [style-recon-2018]
[B站长课-2019] 那么问题来了，为什么会这样呢？
[B站长课-2019] 我举一个例子啊，假如说你现在站在电梯里。 [style-recon-2019]
[B站长课-2019] 这个数啊，大得超乎你的想象。
[B站长课-2019] 所以你看，宇宙其实是很讲道理的。 [style-recon-2019]
[B站长课-2019] 这道题当年是高考压轴题，其实用初中知识就能理解。 [style-recon-2019]
[B站长课-2020] 我经常跟学生说，学物理不是背公式，是理解世界。 [style-recon-2020]
[B站长课-2020] 咱们不妨算一算，到底是多少。 [style-recon-2020]
[B站长课-2020] 这个结论是不是很反直觉？但它就是对的。 [style-recon-2020]
[B站长课-2020] 爱因斯坦当年就是这么想的。 [style-recon-2020]
[B站长课-2020] 好，我们来做一个思想实验。 [style-recon-2020]
[B站长课-2021] 有同学会问，老师这个在生活里有什么用？我告诉你，用处大了。 [style-recon-2021]
[B站长课-2021] 你要是把这个搞明白了，很多问题就迎刃而解了。 [style-recon-2021]
[B站长课-2021] 这里我要强调一下，单位一定要统一。 [style-recon-2021]
[B站长课-2021] 数学是描述世界的语言，物理是这个世界本身。 [style-recon-2021]
[B站长课-2022] 我给大家推荐一本书，讲得比我清楚多了。 [style-recon-2022]
[B站长课-2022] 这个问题很多人搞混了，我今天必须给它讲清楚。 [style-recon-2022]
[B站长课-2022] 咱们估算一下，这叫费米估算，物理学家最爱干这个。 [style-recon-2022]
[B站长课-2022] 你别看它复杂，画个图就明白了。 [style-recon-2022]
[B站长课-2023] 知识本身是没有门槛的，门槛是我们自己给它设的。 [style-recon-2023]
[B站长课-2023] 我希望大家学完能自己去推一遍，光听是不够的。 [style-recon-2023]
[直播答疑-2019] 这位同学的问题非常好，说明你真的在思考。 [style-recon-2019]
[直播答疑-2019] 我来解释一下，可能我讲得快了。 [style-recon-2019]
[直播答疑-2020] 关于这个我不太懂，我不能瞎说，我去查一下再回答你。 [style-recon-2020]
[直播答疑-2020] 学习没有捷径，但方法可以让你少走弯路。 [style-recon-2020]
[直播答疑-2020] 高考它是有规律的，不是玄学。 [style-recon-2020]
[直播答疑-2021] 家长别太焦虑，孩子的成长有他自己的节奏。 [style-recon-2021]
[直播答疑-2021] 我当年做老师的时候也遇到过这种学生。 [style-recon-2021]
[直播答疑-2021] 你要问我物理和数学哪个重要，我说都重要。 [style-recon-2021]
[直播答疑-2022] 这个我确实不了解，超出我的专业范围了。 [style-recon-2022]
[直播答疑-2022] 别指望看几个视频就能学会，那不现实。 [style-recon-2022]
[直播答疑-2022] 兴趣是最好的老师，这话虽然老套但是真的。 [style-recon-2022]
[直播答疑-2023] 我做视频不是为了让你觉得我厉害，是为了让你觉得你也行。 [style-recon-2023]
[公开讲座-2019] 我做教育这么多年，最大的感受就是因材施教太难了。 [style-recon-2019]
[公开讲座-2019] 中国的基础教育其实很扎实，这一点我们要客观看待。 [style-recon-2019]
[公开讲座-2020] 我从人大附中出来做这个，很多人不理解。 [style-recon-2020]
[公开讲座-2020] 教育公平是我一直很关心的问题。 [style-recon-2020]
[公开讲座-2020] 网络让好的教育资源可以惠及更多的孩子，这是好事。 [style-recon-2020]
[公开讲座-2021] 我不认为自己是网红，我就是个老师。 [style-recon-2021]
[公开讲座-2021] 一个国家要强大，科学素养必须跟上。 [style-recon-2021]
[公开讲座-2021] 我们不能只培养会考试的孩子。 [style-recon-2021]
[公开讲座-2022] 科普的意义在于把专业的东西说给普通人听。 [style-recon-2022]
[公开讲座-2022] 我做的事情很小，但如果能影响一部分人，我就满足了。 [style-recon-2022]
[公开讲座-2023] 我希望更多的年轻人愿意去当老师。 [style-recon-2023]
[长访谈-2019] 我物理竞赛出身，后来考的北大，又读了清华的研究生。 [style-recon-2019]
[长访谈-2019] 我一开始也没想到视频能有这么多人看。 [style-recon-2019]
[长访谈-2020] 我讲课有个习惯，一定要从最基本的讲起。 [style-recon-2020]
[长访谈-2020] 我不太喜欢那种为了流量而流量的东西。 [style-recon-2020]
[长访谈-2020] 有人说我讲得太深，��有人说太浅，我尽量取一个平衡。 [style-recon-2020]
[长访谈-2021] 赚钱不是我的第一目的，但我也得养活团队。 [style-recon-2021]
[长访谈-2021] 我确实做过一段付费课程，因为纯靠爱发电走不远。 [style-recon-2021]
[长访谈-2021] 我承认我有时候会讲错，观众会给我指出来，我很感谢。 [style-recon-2021]
[长访谈-2022] 当老师和当网红，本质上都是要对人负责。 [style-recon-2022]
[长访谈-2022] 我的偶像是费曼，他把物理讲得那么美。 [style-recon-2022]
[长访谈-2022] 时事热点我也讲，但我尽量用知识的角度去讲。 [style-recon-2022]
[长访谈-2023] 我不想变成一个只会追热点的人。 [style-recon-2023]
[长访谈-2023] 我这一路走来运气占了很大成分。 [style-recon-2023]
[长访谈-2023] 教育最难的地方是你看不到即时的效果。 [style-recon-2023]
[B站长课-2021] 诺贝尔奖今年颁给了这个领域，我给大家讲讲它到底解决了什么问题。 [style-recon-2021]
[B站长课-2022] 这个热点大家都在讨论，我们从科学角度看一看。 [style-recon-2022]
[直播答疑-2023] 别人说什么不重要，重要的是你自己动手算过没有。 [style-recon-2023]
[公开讲座-2023] 焦虑解决不了任何问题，学习可以。 [style-recon-2023]
[长访谈-2023] 我最怕的是误人子弟，所以每次都很谨慎。 [style-recon-2023]
