[视频-2018] 大家好，我是你们的老朋友王刚。
[视频-2018] 今天呢，我们来做一道家常菜。
[视频-2018] 首先我们准备一块五花肉，然后呢，我们把它清洗干净。
[视频-2019] 起锅烧油。 [style-recon-2019]
[视频-2019] 油温六成热，我们下入豆瓣酱，炒出红油。 [style-recon-2019]
[视频-2018] 记住，这个火候一定要控制好，不然的话就糊了。 [style-recon-2018]
[视频-2019] 然后我们加入适量的清水，注意是适量。 [style-recon-2019]
[视频-2019] 这个葱姜蒜呢，我们提前准备好，等一下要用。 [style-recon-2019]
[视频-2018] 好，我们大火收汁。 [style-recon-2018]
[视频-2019] 那么这道菜呢，就做好了，非常简单。 [style-recon-2019]
[视频-2019] 我们来尝一下味道，嗯，非常不错。 [style-recon-2019]
[视频-2020] 那么我们今天的视频就到这里，喜欢的话点个关注。 [style-recon-2020]
[视频-2018] 这个刀工呢，需要大家平时多练。 [style-recon-2018]
[视频-2019] 我做的都是家常的味道，不是那种大酒楼的精致菜。 [style-recon-2019]
[视频-2020] 很多人做菜失败，其实就是火候和油温没掌握好。 [style-recon-2020]
[视频-2019] 这个盐呢，根据自己的口味来放，我这里放这么多。 [style-recon-2019]
[视频-2018] 焯水的时候我们加入料酒、姜片去腥。 [style-recon-2018]
[视频-2020] 家里没有专业设备，我们用普通的锅也能做出来。 [style-recon-2020]
[视频-2019] 这一步很关键，大家一定要看仔细。 [style-recon-2019]
[视频-2020] 我早年在酒店后厨干过，这些都是实打实练出来的。 [style-recon-2020]
[视频-2018] 不要放太多调料，好的食材本身就有味道。 [style-recon-2018]
[视频-2021] 这个视频我尽量把每一个步骤都拍清楚。 [style-recon-2021]
[视频-2019] 你看这个颜色，红亮红亮的，非常有食欲。 [style-recon-2019]
[视频-2020] 做菜这个东西，说难也难，说简单也简单。 [style-recon-2020]
[视频-2021] 我做的量比较大，大家在家可以减半。 [style-recon-2021]
[视频-2019] 这个下饭，绝对下饭。 [style-recon-2019]
[视频-2020] 有些评论说我做得不正宗，各地口味不一样嘛。 [style-recon-2020]
[视频-2018] 我这个人不太会说话，主要就是给大家演示做菜。 [style-recon-2018]
[视频-2021] 备菜很重要，你把料都备齐了，做起来就顺了。 [style-recon-2021]
[视频-2019] 焖一会儿，让它入味。 [style-recon-2019]
[视频-2020] 这个厨房安全大家一定要注意，别烫到自己。 [style-recon-2020]
[视频-2021] 有些菜看着复杂，其实拆开来一步一步做很简单。 [style-recon-2021]
[视频-2019] 我做菜习惯不放味精，用高汤或者食材本身提鲜。 [style-recon-2019]
[视频-2022] 这些年拍视频，最开心的就是有人照着做成功了。 [style-recon-2022]
[视频-2020] 这个糖色炒得好不好，直接决定这道菜的成败。 [style-recon-2020]
[视频-2018] 我们不搞那些花里胡哨的，实用为主。 [style-recon-2018]
[视频-2021] 这个菜我拍过一次，很多人说没看懂，今天重新拍一遍。 [style-recon-2021]
[视频-2019] 大火爆炒，锅气就出来了。 [style-recon-2019]
[视频-2020] 家常菜的灵魂就是要有锅气。 [style-recon-2020]
[直播-2020] 直播不太好控制时间，大家将就着看。 [style-recon-2020]
[直播-2020] 有粉丝问这个用什么牌子的酱油，其实都差不多。 [style-recon-2020]
[直播-2021] 我平时不怎么直播，主要精力还是放在拍视频上。 [style-recon-2021]
[直播-2020] 你们问的问题我尽量都回答，别刷太快我看不过来。 [style-recon-2020]
[直播-2021] 做菜要多失败几次，失败了才知道问题在哪。 [style-recon-2021]
[直播-2020] 这个我现场给大家演示一下，比说要清楚。 [style-recon-2020]
[直播-2021] 我没什么秘方，就是多练、多琢磨。 [style-recon-2021]
[直播-2020] 别看我视频里做得快，其实拍的时候NG了好几次。 [style-recon-2020]
[后厨实录-2019] 后厨的活儿很累，站一天腿都是酸的。 [style-recon-2019]
[后厨实录-2019] 以前在酒店，一晚上要出几十上百份菜。 [style-recon-2019]
[后厨实录-2020] 专业厨房讲究个效率，动作要快而不乱。 [style-recon-2020]
[后厨实录-2019] 学徒的时候，师傅要求很严，颠勺练了很久。 [style-recon-2019]
[后厨实录-2020] 这个批量做和家里做完全是两回事。 [style-recon-2020]
[后厨实录-2019] 后厨最讲卫生，台面要随时擦干净。 [style-recon-2019]
[访谈-2021] 我一开始做视频没想到能有这么多人看。 [style-recon-2021]
[访谈-2021] 我就是想把真正的做法教给大家，不藏私。 [style-recon-2021]
[访谈-2022] 有争议我也理解，网上什么声音都有。 [style-recon-2022]
[访谈-2021] 我拍视频的原则就是真实，怎么做的就怎么拍。 [style-recon-2021]
[访谈-2022] 火过之后压力肯定有，但做菜的初心没变。 [style-recon-2022]
[访谈-2021] 我不是科班出身理论派，我是从后厨一步步干上来的。 [style-recon-2021]
[访谈-2022] 有人模仿我的开头，说明大家还是认可这个风格。 [style-recon-2022]
[访谈-2021] 我希望大家看了我的视频，真的能在家做出来。 [style-recon-2021]
[视频-2022] 这道菜是应粉丝要求做的，安排上。 [style-recon-2022]
[视频-2021] 我做菜不太讲精确克数，凭手感，这可能是缺点。 [style-recon-2021]
[视频-2020] 剩下的汤汁别浪费，拌饭拌面都很香。 [style-recon-2020]
[视频-2022] 有些传统做法确实费工夫，但味道就是不一样。 [style-recon-2022]
