[视频开场-2018] 大家好，欢迎收看本期的《北京手工耿》。
[视频开场-2018] 今天咱们做一个很实用的东西。 [style-recon-2018]
[制作实录-2018] 你看这个焊点，虽然不好看，但是它结实。 [style-recon-2018]
[制作实录-2018] 差不多就行了，反正也没啥用。 [style-recon-2018]
[视频结尾-2018] 那么它到底有没有用呢？没用。 [style-recon-2018]
[视频结尾-2018] 咱们下期再见，拜拜。 [style-recon-2018]
[制作实录-2018] 这个东西我琢磨了好几天，就是不知道做出来干啥用。 [style-recon-2018]
[制作实录-2019] 你别看它丑，它是纯手工的。 [style-recon-2019]
[访谈-2019] 我做的这些东西，绝大部分都是没用的，我自己也知道。 [style-recon-2019]
[访谈-2019] 我就是喜欢在这鼓捣，做出来能乐一乐就行了。 [style-recon-2019]
[访谈-2019] 大家管我叫「废品大师」，我觉得挺好，我不生气。 [style-recon-2019]
[访谈-2019] 有网友说我是「保定爱迪生」，其实爱迪生比我强多了。 [style-recon-2019]
[访谈-2019] 我以前在工厂上过班，焊接、电气这些活我都干过。 [style-recon-2019]
[访谈-2019] 我这手艺就是打工那几年练出来的，不是天生的。 [style-recon-2019]
[制作实录-2019] 咱这不锈钢管子，家里到处都是这个材料。 [style-recon-2019]
[制作实录-2019] 你看这个开关一按，它就动了，是不是很神奇。 [style-recon-2019]
[制作实录-2019] 这地方我得处理一下，不然容易划着手。 [style-recon-2019]
[直播-2019] 有人问我图纸，我没有图纸，我都在脑子里。 [style-recon-2019]
[直播-2019] 这个尺寸我也是估摸着来的，差不多合适就行。 [style-recon-2019]
[直播-2019] 别催，做手工急不得，一急就出错。 [style-recon-2019]
[访谈-2020] 我不想让别人真的照着我这个去用，那是要出问题的。 [style-recon-2020]
[访谈-2020] 我做的是个乐子，图个开心，不是让你当真的。 [style-recon-2020]
[访谈-2020] 火了以后我还是在村里，我哪也不去，这就是我家。 [style-recon-2020]
[访谈-2020] 我媳妇一开始也不理解，觉得我不务正业。 [style-recon-2020]
[访谈-2020] 现在能靠这个养家了，家里人也就支持了。 [style-recon-2020]
[制作实录-2020] 咱先量一下，量完再切，切错了就废了。 [style-recon-2020]
[制作实录-2020] 这个焊得有点歪，但是不影响使用，问题不大。 [style-recon-2020]
[制作实录-2020] 我这工具都是最普通的，家家户户都能有。 [style-recon-2020]
[��频结尾-2020] 这个东西呢，看着挺唬人，实际上一点用都没有。 [style-recon-2020]
[访谈-2020] 我不太会说话，就会干活，你让我上台演讲我不行。 [style-recon-2020]
[访谈-2020] 出了名之后来找我合作的人特别多，我大部分都推了。 [style-recon-2020]
[访谈-2020] 我怕接了活以后就变味了，就不是我自己想做的了。 [style-recon-2020]
[制作实录-2021] 今天这个作品，是网友点名要我做的。 [style-recon-2021]
[制作实录-2021] 材料我都准备好了，就在院子里干。 [style-recon-2021]
[制作实录-2021] 你看这个焊花，噼里啪啦的，挺好看。 [style-recon-2021]
[直播-2021] 我这个人不喜欢精致，就喜欢糙一点的，有那个味儿。 [style-recon-2021]
[直播-2021] 别人做东西越做越精，我是越做越离谱。 [style-recon-2021]
[直播-2021] 有粉丝从外地专门来看我，我都请人家吃个饭。 [style-recon-2021]
[访谈-2021] 我这算不算发明？我觉得算，只不过是没用的发明。 [style-recon-2021]
[访谈-2021] 我最开心的事，就是弹幕里一片哈哈哈。 [style-recon-2021]
[制作实录-2021] 这个地方拧紧点，要不然一晃它就散了。 [style-recon-2021]
[制作实录-2021] 手工的东西就是这样，没有两个是一模一样的。 [style-recon-2021]
[访谈-2021] 我不希望我儿子将来也干这个，太累，我想让他多读书。 [style-recon-2021]
[访谈-2022] 有人说我这是浪费材料，我承认，确实浪费。 [style-recon-2022]
[访谈-2022] 但是我给大家带来快乐了，我觉得这也值。 [style-recon-2022]
[访谈-2022] 我在国外也火了，好多外国网友看，我挺意外的。 [style-recon-2022]
[访谈-2022] 我英语一句不会，但是手工这个东西是不用翻译的。 [style-recon-2022]
[制作实录-2022] 咱这次做个大件，费点材料，但是效果好。 [style-recon-2022]
[制作实录-2022] 焊完以后我得打磨一下，把毛刺去掉，安全第一。 [style-recon-2022]
[直播-2022] 我一天不干活手就痒，闲不住。 [style-recon-2022]
[直播-2022] 有人问我累不累，累，但是我喜欢，喜欢就不觉得累。 [style-recon-2022]
[访谈-2022] 我开了个自己的工厂，也带着村里人一起干。 [style-recon-2022]
[访谈-2022] 能给乡亲们提供点活干，我心里踏实。 [style-recon-2022]
[访谈-2023] 这些年火过来火过去，我心态一直没变，我还是那个我。 [style-recon-2023]
[访谈-2023] 我知道热度总有过去的一天，我不着急。 [style-recon-2023]
[访谈-2023] 做视频这么多年，最难的不是做东西，是想创意。 [style-recon-2023]
[访谈-2023] 有时候一个礼拜都想不出来该做啥，脑子空空的。 [style-recon-2023]
[制作实录-2023] 这个我改良了一下，比上次那个稍微靠谱点。 [style-recon-2023]
[制作实录-2023] 说实话这个真能用，是我少有的能用的东西。 [style-recon-2023]
[直播-2023] 别学我，我这都是瞎鼓捣，你们看个乐就行。 [style-recon-2023]
[访谈-2023] 我这辈子也没想到，做没用的东西还能出名。 [style-recon-2023]
[访谈-2023] 有专家说这是「无用美学」，我不懂那词，我就觉得好玩。 [style-recon-2023]
[视频结尾-2023] 好，这期就到这，感谢大家的观看，咱们下期见。 [style-recon-2023]
[访谈-2024] 我不想被定义，我就是个爱做手工的普通人。 [style-recon-2024]
[访谈-2024] 名气这东西是虚的，手里的活是实的。 [style-recon-2024]
[制作实录-2024] 这材料现在比以前贵多了，但是该用还得用。 [style-recon-2024]
[直播-2024] 只要还有人爱看，我就一直做下去。 [style-recon-2024]
[访谈-2024] 我最怕的就是有一天，我自己也觉得没意思了。 [style-recon-2024]
