[高校演讲-2010s] 我们从没像今天这样离信息很近，又离真相那么远。
[高校演讲-2010s] 不要因为走得太远，就忘了当初我们为什么出发。
[高校演讲-2010s] 你们现在最缺的不是选择，而是学会放弃。 [style-recon-2010s]
[高校演讲-2010s] 我大学四年最大的收获，是知道了自己的无知。 [style-recon-2010s]
[高校演讲-2010s] 阅读是一种可以随身携带的避难所。
[高校演讲-2010s] 没有一代人的青春是容易的，都不容易。 [style-recon-2010s]
[高校演讲-2010s] 幸福是需要具体的，不是空的。 [style-recon-2010s]
[高校演讲-2010s] 我不太喜欢“成功”这个词，它太单一了。 [style-recon-2010s]
[高校演讲-2010s] 你可以不成功，但你不能不成长。 [style-recon-2010s]
[高校演讲-2010s] 我们习惯了热闹，却忘了独处也是一种能力。 [style-recon-2010s]
[高校演讲-2010s] 一个人的成熟，是从他愿意承担责任那一刻开始的。 [style-recon-2010s]
[高校演讲-2010s] 我特别想说，别太着急，人生是个长跑。 [style-recon-2010s]
[高校演讲-2010s] 我们这个社会，太喜欢用速度来衡量一切了。 [style-recon-2010s]
[高校演讲-2010s] 好的教育，不是把杯子灌满，而是把火点燃。 [style-recon-2010s]
[高校演讲-2010s] 我常常担心，我们培养出了很多精致的利己主义者。 [style-recon-2010s]
[高校演讲-2010s] 焦虑这东西，你越对抗它，它越强。 [style-recon-2010s]
[高校演讲-2010s] 我不给你们答案，我只想让你们多问几个为什么。 [style-recon-2010s]
[高校演讲-2020s] 抱怨没有用，改变从每个人自己开始。 [style-recon-2020s]
[高校演讲-2020s] 这一代年轻人不容易，但历史上哪代人容易过？ [style-recon-2020s]
[高校演讲-2020s] 躺平我理解，但我不建议一直躺着。 [style-recon-2020s]
[电视访谈-2000s] 我做新闻，是希望这个社会往好的方向走一点点。 [style-recon-2000s]
[电视访谈-2000s] 我不喜欢煽情，新闻要的是理性，不是眼泪。 [style-recon-2000s]
[电视访谈-2000s] 一个国家的进步，不是没有问题，而是敢于面对问题。 [style-recon-2000s]
[电视访谈-2000s] 说真话不难，难的是一直说真话。 [style-recon-2000s]
[电视访谈-2000s] 主持人不是明星，是一个提问的人。 [style-recon-2000s]
[电视访谈-2000s] 我采访的时候，最重要的不是我说什么，是我听到什么。 [style-recon-2000s]
[电视访谈-2000s] 悲观是一种远见，但我们要用乐观去做事。 [style-recon-2000s]
[电视���谈-2000s] 批评不自由，则赞美无意义。
[电视访谈-2000s] 中国这么大，任何一个小数点后面，都是一群活生生的人。 [style-recon-2000s]
[电视访谈-2010s] 我们这行，得给公众一个交代，也得给历史一个交代。 [style-recon-2010s]
[电视访谈-2010s] 我不认为我说了多真的话，只是有些人连这些都不敢说。 [style-recon-2010s]
[电视访谈-2010s] 谣言止于智者，也止于公开。 [style-recon-2010s]
[电视访谈-2010s] 一个健康的社会，不该只有一种声音。
[电视访谈-2010s] 我做节目二十多年，越来越觉得，常识才是最稀缺的。 [style-recon-2010s]
[电视访谈-2010s] 我们缺的从来不是能人，是把普通事做好的人。 [style-recon-2010s]
[电视访谈-2010s] 生命都是平等的，一个也不能少。 [style-recon-2010s]
[电视访谈-2010s] 我不怕你们批评我，我怕的是没人愿意说话了。 [style-recon-2010s]
[论坛对话-2010s] 中国的问题，得放到中国的语境里去看。 [style-recon-2010s]
[论坛对话-2010s] 我们总想着弯道超车，可有些路是没有弯道的。 [style-recon-2010s]
[论坛对话-2010s] 改革到了今天，剩下的都是硬骨头。 [style-recon-2010s]
[论坛对话-2010s] 互联网放大了情绪，但情绪解决不了任何问题。 [style-recon-2010s]
[论坛对话-2010s] 我们不缺信息，缺的是判断信息的能力。 [style-recon-2010s]
[论坛对话-2010s] 每一代媒体人，都有自己那一代的天花板。 [style-recon-2010s]
[论坛对话-2010s] 中国不需要跪着的人，也不需要站着骂街的人。 [style-recon-2010s]
[论坛对话-2010s] 理想主义不是幼稚，是明知不完美还愿意去做。 [style-recon-2010s]
[论坛对话-2020s] 老龄化不是灾难，是我们必须学会的一门功课。 [style-recon-2020s]
[论坛对话-2020s] 我从不觉得年轻人垮掉了，每一代都被上一代说垮掉过。 [style-recon-2020s]
[论坛对话-2020s] 我们要允许失败，一个不允许失败的社会是危险的。 [style-recon-2020s]
[读书活动-2010s] 读书不能改变命运，但能改变你面对命运的姿态。 [style-recon-2010s]
[读书活动-2010s] 我推荐的书未必对，但我希望你养成挑书的习惯。 [style-recon-2010s]
[读书活动-2010s] 一个不读书的民族，是没有希望的民族。 [style-recon-2010s]
[读书活动-2010s] 我这一辈子，最感谢的两样东西，一是新闻，一是书。 [style-recon-2010s]
[读书活动-2010s] 手机会让你上瘾，书不会，书让你安静。 [style-recon-2010s]
[读书活动-2010s] 曾国藩、老子、《道德经》，这些老东西，其实很新。 [style-recon-2010s]
[读书活动-2010s] 我不劝人读书，读书是一件很私人的事。 [style-recon-2010s]
[读书活动-2020s] 碎片化阅读不是阅读，那只是刷。 [style-recon-2020s]
[读书活动-2020s] 我们读经典，不是为了怀旧，是为了活得明白。 [style-recon-2020s]
[读书活动-2020s] 一本书，读进去了，你就多了一个朋友。 [style-recon-2020s]
[高校Q&A-2010s] 你问我快乐吗？我常常不快乐，但我知道为什么活着。 [style-recon-2010s]
[高校Q&A-2010s] 别问我怎么成功，问我犯过多少错更有用。 [style-recon-2010s]
[高校Q&A-2010s] 我五十岁的时候才明白，很多事急不来。 [style-recon-2010s]
[高校Q&A-2010s] 迷茫是正常的，二十岁不迷茫才可怕。 [style-recon-2010s]
[高校Q&A-2010s] 我不代表任何人，我只代表我自己说话。 [style-recon-2010s]
[高校Q&A-2010s] 你们要有底线，底线守住了，别的都好说。 [style-recon-2010s]
[高校Q&A-2020s] 内卷这个词我不喜欢，它把人变成了机器。 [style-recon-2020s]
[高校Q&A-2020s] 我年轻时也睡地板、也被拒绝过，谁不是这么过来的。 [style-recon-2020s]
